,index,DayPrecip,DayAirTmpMin,DayAirTmpMax,DayEto,DayAirTmpAvg,DaySolRadAvg,DayWindSpdAvg,Eto_values,Kc_values,Etc_values,Etc_cum,Soil_Water_Deficit,Soil_Water_Deficit_cum
10,2018-01-11,0.0,40.8,61.6,0.02,49.9,133.0,1.4,0.03,0.6550649509733737,0.01965194852920121,0.15066493872387596,-0.01965194852920121,2.329335061276124
11,2018-01-12,0.0,38.1,59.7,0.02,47.5,131.0,1.6,0.03,0.6550649509733737,0.01965194852920121,0.17031688725307717,-0.01965194852920121,2.309683112746923
12,2018-01-13,0.0,34.8,56.7,0.04,46.5,192.0,4.5,0.03,0.6550649509733737,0.01965194852920121,0.18996883578227838,-0.01965194852920121,2.290031164217722
13,2018-01-14,0.0,38.3,56.7,0.02,48.2,121.0,3.9,0.02,0.6550649509733737,0.013101299019467475,0.20307013480174585,-0.013101299019467475,2.2769298651982544
14,2018-01-15,0.0,40.3,57.1,0.03,49.8,157.0,2.2,0.03,0.6550649509733737,0.01965194852920121,0.22272208333094706,-0.01965194852920121,2.2572779166690533
15,2018-01-16,0.03,50.6,57.2,0.01,54.1,72.0,1.9,0.01,0.6550649509733737,0.006550649509733737,0.2292727328406808,0.023449350490266262,2.2807272671593197
16,2018-01-17,0.0,49.5,57.1,0.02,53.2,105.0,2.4,0.02,0.6550649509733737,0.013101299019467475,0.24237403186014828,-0.013101299019467475,2.267625968139852
17,2018-01-18,0.13,48.3,56.8,0.0,52.1,43.0,2.4,0.0,0.6550649509733737,0.0,0.24237403186014828,0.13,2.397625968139852
18,2018-01-19,0.0,33.2,60.2,0.04,45.1,196.0,1.9,0.04,0.6550649509733737,0.02620259803893495,0.2685766298990832,-0.02620259803893495,2.371423370100917
19,2018-01-20,0.01,28.5,60.2,0.05,42.1,236.0,2.0,0.05,0.6550649509733737,0.032753247548668686,0.3013298774477519,-0.022753247548668684,2.3486701225522486
20,2018-01-21,0.07,30.0,55.5,0.03,44.2,150.0,2.6,0.03,0.6550649509733737,0.01965194852920121,0.32098182597695313,0.050348051470798794,2.3990181740230474
21,2018-01-22,0.33,35.5,57.2,0.03,50.1,148.0,4.3,0.03,0.6550649509733737,0.01965194852920121,0.34063377450615434,0.3103480514707988,2.709366225493846
22,2018-01-23,0.0,34.4,59.5,0.05,44.5,234.0,1.8,0.05,0.6550649509733737,0.032753247548668686,0.37338702205482305,-0.032753247548668686,2.6766129779451773
23,2018-01-24,0.33,35.3,56.6,0.01,45.9,72.0,3.0,0.01,0.6550649509733737,0.006550649509733737,0.37993767156455677,0.3234493504902663,3.0000623284354435
24,2018-01-25,0.27,33.6,56.1,0.04,43.9,188.0,2.2,0.04,0.6550649509733737,0.02620259803893495,0.4061402696034917,0.24379740196106506,3.2438597303965087
25,2018-01-26,0.0,29.5,55.5,0.05,41.2,231.0,1.9,0.04,0.6557693228555225,0.0262307729142209,0.4323710425177126,-0.0262307729142209,3.2176289574822876
26,2018-01-27,0.0,37.3,64.6,0.05,47.9,229.0,1.6,0.05,0.6564736947376713,0.03282368473688357,0.46519472725459615,-0.03282368473688357,3.184805272745404
27,2018-01-28,0.0,33.8,64.6,0.06,48.3,254.0,1.8,0.06,0.6571780666198199,0.03943068399718919,0.5046254112517854,-0.03943068399718919,3.1453745887482145
28,2018-01-29,0.0,36.7,60.9,0.03,46.7,131.0,1.9,0.03,0.6578824385019687,0.01973647315505906,0.5243618844068445,-0.01973647315505906,3.1256381155931554
29,2018-01-30,0.0,32.0,65.0,0.06,47.7,234.0,1.7,0.06,0.6585868103841175,0.03951520862304705,0.5638770930298915,-0.03951520862304705,3.0861229069701084
30,2018-01-31,0.0,33.4,66.3,0.06,48.7,252.0,1.7,0.06,0.6592911822662662,0.03955747093597597,0.6034345639658675,-0.03955747093597597,3.0465654360341325
31,2018-02-01,0.0,39.2,71.5,0.06,53.0,241.0,1.7,0.07,0.6599955541484149,0.04619968879038905,0.6496342527562565,-0.04619968879038905,3.0003657472437437
32,2018-02-02,0.0,39.4,74.1,0.07,53.5,242.0,2.0,0.07,0.6606999260305637,0.04624899482213946,0.695883247578396,-0.04624899482213946,2.954116752421604
33,2018-02-03,0.0,38.0,75.0,0.08,54.5,257.0,2.3,0.08,0.6769272255172409,0.05415417804137928,0.7500374256197753,-0.05415417804137928,2.8999625743802246
34,2018-02-04,0.0,41.3,74.4,0.07,54.9,238.0,2.1,0.07,0.6931545250039182,0.048520816750274275,0.7985582423700496,-0.048520816750274275,2.8514417576299502
35,2018-02-05,0.0,40.7,71.6,0.07,53.7,250.0,1.8,0.07,0.7093818244905954,0.04965672771434168,0.8482149700843913,-0.04965672771434168,2.8017850299156084
36,2018-02-07,0.0,36.1,72.5,0.08,53.8,267.0,2.8,0.08,0.7256091239772727,0.05804872991818182,0.9062637000025731,-0.05804872991818182,2.7437362999974266
37,2018-02-08,0.0,37.7,74.8,0.08,53.7,284.0,1.7,0.08,0.74183642346395,0.059346913877116,0.965610613879689,-0.059346913877116,2.6843893861203107
38,2018-02-09,0.0,37.4,75.8,0.08,53.9,281.0,1.9,0.08,0.7580637229506272,0.060645097836050176,1.0262557117157391,-0.060645097836050176,2.6237442882842608
39,2018-02-10,0.0,39.3,75.5,0.09,55.9,273.0,2.1,0.09,0.7742910224373044,0.0696861920193574,1.0959419037350966,-0.0696861920193574,2.5540580962649035
40,2018-02-11,0.0,30.6,62.4,0.05,45.6,191.0,2.8,0.05,0.7678146695510956,0.038390733477554784,1.1343326372126514,-0.038390733477554784,2.5156673627873487
41,2018-02-12,0.0,29.9,65.3,0.08,47.2,299.0,2.2,0.08,0.7613383166648867,0.060907065333190936,1.1952397025458423,-0.060907065333190936,2.4547602974541576
42,2018-02-13,0.0,33.0,65.3,0.1,51.6,303.0,3.4,0.1,0.7548619637786779,0.0754861963778678,1.2707258989237102,-0.0754861963778678,2.3792741010762897
43,2018-02-14,0.0,28.2,63.9,0.06,43.2,244.0,2.4,0.06,0.7483856108924691,0.04490313665354815,1.3156290355772584,-0.04490313665354815,2.3343709644227415
44,2018-02-15,0.0,30.4,72.1,0.09,47.2,310.0,1.9,0.09,0.7419092580062603,0.06677183322056342,1.3824008687978218,-0.06677183322056342,2.267599131202178
45,2018-02-16,0.0,26.9,65.9,0.09,45.3,306.0,2.1,0.08,0.7354329051200514,0.05883463240960412,1.4412355012074258,-0.05883463240960412,2.208764498792574
46,2018-02-17,0.0,29.9,69.2,0.09,48.5,303.0,2.2,0.08,0.7289565522338426,0.05831652417870741,1.4995520253861332,-0.05831652417870741,2.1504479746138663
47,2018-02-18,0.0,33.7,60.3,0.08,47.7,308.0,3.0,0.08,0.7224801993476337,0.057798415947810704,1.5573504413339438,-0.057798415947810704,2.0926495586660554
48,2018-02-19,0.0,27.2,54.7,0.06,39.5,244.0,2.0,0.06,0.7033290872959185,0.042199745237755104,1.599550186571699,-0.042199745237755104,2.0504498134283002
